Num.,Cpd.,structure,Smilies,Ki,reference,
86,"ethyl (2R,3R)-3-(1-(3-amino-3-oxopropyl)-2-(((benzyloxy)carbonyl)-D-leucyl-L-phenylalanyl)hydrazine-1-carbonyl)oxirane-2-carboxylate",,O=C(NN(CCC(N)=O)C([C@H]1[C@H](C(OCC)=O)O1)=O)[C@H](CC2=CC=CC=C2)NC([C@@H](CC(C)C)NC(OCC3=CC=CC=C3)=O)=O,Kinact/Ki= 1900 (¡À400) M?1s?1,"Lee, T. W.; Cherney, M. M.; Liu, J.; James, K. E.; Powers, J. C.;
Eltis, L. D.; James, M. N. G. Crystal structures reveal an induced-fit
binding of a substrate-like aza-peptide epoxide to SARS coronavirus
main peptidase. J. Mol. Biol. 2007, 366, 916?932",
87,"ethyl (2R,3R)-3-((2-((2-(benzyloxy)-2-oxoethyl)amino)-2-oxoethyl)carbamoyl)aziridine-2-carboxylate",,O=C([C@H]1[C@H](C(OCC)=O)N1)NCC(NCC(OCC2=CC=CC=C2)=O)=O,"54%
inhibition at 100 ¦ÌM","Martina, E.; Stiefl, N.; Degel, B.; Schulz, F.; Breuning, A.;
Schiller, M.; Vicik, R.; Baumann, K.; Ziebuhr, J.; Schirmeister, T.
Screening of electrophilic compounds yields an aziridinyl peptide as
new active-site directed SARS-CoV main protease inhibitor. Bioorg.
Med. Chem. Lett. 2005, 15, 5365?5369",
88,"(2R,4S,5R)-4-((2S)-2-(2-acetamidopropanamido)-3-hydroxypropanamido)-N-((S)-6-amino-1,6-dioxohexan-2-yl)-5-hydroxy-2-(hydroxymethyl)-3-oxohexanamide",,CC(NC(C(N[C@H](C(N[C@H](C([C@H](C(N[C@H](C([H])=O)CCCC(N)=O)=O)CO)=O)[C@@H](C)O)=O)CO)=O)C)=O,IC50=7.5 ¦ÌM,"Al-Gharabli, S. I.; Shah, S. T.; Weik, S.; Schmidt, M. F.; Mesters,
J. R.; Kuhn, D.; Klebe, G.; Hilgenfeld, R.; Rademann, J. An efficient
method for the synthesis of peptide aldehyde libraries employed in the
discovery of reversible SARS coronavirus main protease (SARS-CoV
Mpro) inhibitors. ChemBioChem 2006, 7, 1048?1055.",
89,"4-acetamido-5-(((S)-1-(((2R,3S,5R)-5-(((S)-6-amino-1,6-dioxohexan-2-yl)carbamoyl)-2-hydroxy-7-methyl-4-oxooctan-3-yl)amino)-3-hydroxy-1-oxopropan-2-yl)amino)-5-oxopentanoic acid",,CC(NC(C(N[C@H](C(N[C@H](C([C@H](C(N[C@H](C([H])=O)CCCC(N)=O)=O)CC(C)C)=O)[C@@H](C)O)=O)CO)=O)CCC(O)=O)=O,IC50=7.5 ¦ÌM,"Al-Gharabli, S. I.; Shah, S. T.; Weik, S.; Schmidt, M. F.; Mesters,
J. R.; Kuhn, D.; Klebe, G.; Hilgenfeld, R.; Rademann, J. An efficient
method for the synthesis of peptide aldehyde libraries employed in the
discovery of reversible SARS coronavirus main protease (SARS-CoV
Mpro) inhibitors. ChemBioChem 2006, 7, 1048?1055.",
90,Cm-FF-H,,O=C(N[C@H](C(N[C@H](C([H])=O)CC1=CC=CC=C1)=O)CC2=CC=CC=C2)/C=C/C3=CC=CC=C3,2.24 ¦ÌM,"Zhu, L.; George, S.; Schmidt, M. F.; Al-Gharabli, S. I.;
Rademann, J.; Hilgenfeld, R. Peptide aldehyde inhibitors challenge the
substrate specificity of the SARS-coronavirus main protease. Antiviral
Res. 2011, 92, 204?212.",
91,"benzyl ((2S,3S)-3-(tert-butoxy)-1-(((S)-3-cyclohexyl-1-oxo-1-(((S)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)propan-2-yl)amino)-1-oxobutan-2-yl)carbamate",,O=C(N[C@@H]([C@H](C)OC(C)(C)C)C(N[C@@H](CC1CCCCC1)C(N[C@@H](C[C@@H]2CCNC2=O)C([H])=O)=O)=O)OCC3=CC=CC=C3,53 nM,"Yang, S.; Chen, S.- J.; Hsu, M.-F.; Wu, J.-D.; Tseng, C.-T. K.;
Liu, Y.-F.; Chen, H.-C.; Kuo, C.-W.; Wu, C.-S.; Chang, L.-W.; Chen,
W.-C.; Liao, S.-Y.; Chang, T.-Y.; Hung, H.-H.; Shr, H.-L.; Liu, C.-Y.;
Huang, Y.-A.; Chang, L.-Y.; Hsu, J.-C.; Peters, C. J.; Wang, A. H.-J.;
Hsu, M.-C. Synthesis, crystal structure, structure-activity relationships,
and antiviral activity of a potent SARS coronavirus 3CL protease
inhibitor. J. Med. Chem. 2006, 49, 4971?4980.",
92,"(S)-4-((2S,5S,8S,11S)-11-(hydroxymethyl)-2-isobutyl-5-isopropyl-8-methyl-4,7,10,13-tetraoxo-3,6,9,12-tetraazatetradecanamido)-N,N-dimethyl-5-oxopentanamide",,CC(N[C@@H](CO)C(N[C@@H](C)C(N[C@@H](C(C)C)C(N[C@H](C(N[C@@H](CCC(N(C)C)=O)C([H])=O)=O)CC(C)C)=O)=O)=O)=O,IC50=37 nM,"Akaji, K.; Konno, H.; Onozuka, M.; Makino, A.; Saito, H.;
Nosaka, K. Evaluation of peptide-aldehyde inhibitors using R188I
mutant of SARS 3CL protease as a proteolysis-resistant mutant. Bioorg.
Med. Chem. 2008, 16, 9400?9408.",
93,"(S)-N-((S)-1-(((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)-2-((2S,3S)-2-acetamido-3-hydroxybutanamido)-3-methylbutanamide",,CC(N[C@@H]([C@@H](O)C)C(N[C@@H](C(C)C)C(N[C@H](C(N[C@@H](CC1=CNC=N1)C([H])=O)=O)CC2CCCCC2)=O)=O)=O,IC50=98 nM,"Akaji, K.; Konno, H.; Mitsui, H.; Teruya, K.; Shimamoto, Y.;
Hattori, Y.; Ozaki, T.; Kusunoki, M.; Sanjoh, A. Structure-based
design, synthesis, and evaluation of peptide-mimetic SARS 3CL
protease inhibitors. J. Med. Chem. 2011, 54, 7962?73",
94,(S)-N-((S)-1-(((S)-1-(1H-imidazol-4-yl)-3-oxopropan-2-yl)amino)-3-cyclohexyl-1-oxopropan-2-yl)-2-((S)-2-((S)-2-acetamido-3-hydroxypropanamido)propanamido)-3-methylbutanamide,,CC(N[C@@H](CO)C(N[C@@H](C)C(N[C@@H](C(C)C)C(N[C@H](C(N[C@@H](CC1=CNC=N1)C([H])=O)=O)CC2CCCCC2)=O)=O)=O)=O,IC50=65 nM,"Akaji, K.; Konno, H.; Mitsui, H.; Teruya, K.; Shimamoto, Y.;
Hattori, Y.; Ozaki, T.; Kusunoki, M.; Sanjoh, A. Structure-based
design, synthesis, and evaluation of peptide-mimetic SARS 3CL
protease inhibitors. J. Med. Chem. 2011, 54, 7962?73",
95,"benzyl ((S)-1-(((S)-6-(dimethylamino)-1-fluoro-2,6-dioxohexan-3-yl)amino)-4-methyl-1-oxopentan-2-yl)carbamate",,O=C(N[C@@H](CC(C)C)C(N[C@H](C(CF)=O)CCC(N(C)C)=O)=O)OCC1=CC=CC=C1,,"Zhang, H.- Z.; Zhang, H.; Kemnitzer, W.; Tseng, B.; Cinatl, J.,
Jr.; Michaelis, M.; Doerr, H. W.; Cai, S. X. Design and synthesis of
dipeptidyl glutaminyl fluoromethyl ketones as potent severe acute
respiratory syndrome coronavirus (SARS-CoV) inhibitors. J. Med.
Chem. 2006, 49, 1198?1201.",
96,"benzyl ((2S,3R)-1-(((S)-6-(dimethylamino)-1-fluoro-2,6-dioxohexan-3-yl)amino)-3-methyl-1-oxopentan-2-yl)carbamate",,O=C(N[C@@H]([C@H](C)CC)C(N[C@H](C(CF)=O)CCC(N(C)C)=O)=O)OCC1=CC=CC=C1,,"Zhang, H.- Z.; Zhang, H.; Kemnitzer, W.; Tseng, B.; Cinatl, J.,
Jr.; Michaelis, M.; Doerr, H. W.; Cai, S. X. Design and synthesis of
dipeptidyl glutaminyl fluoromethyl ketones as potent severe acute
respiratory syndrome coronavirus (SARS-CoV) inhibitors. J. Med.
Chem. 2006, 49, 1198?1201.",
97,"benzyl ((S)-1-(((S)-6-(dimethylamino)-1-fluoro-2,6-dioxohexan-3-yl)amino)-3-methyl-1-oxobutan-2-yl)carbamate",,O=C(N[C@@H](C(C)C)C(N[C@H](C(CF)=O)CCC(N(C)C)=O)=O)OCC1=CC=CC=C1,,"Zhang, H.- Z.; Zhang, H.; Kemnitzer, W.; Tseng, B.; Cinatl, J.,
Jr.; Michaelis, M.; Doerr, H. W.; Cai, S. X. Design and synthesis of
dipeptidyl glutaminyl fluoromethyl ketones as potent severe acute
respiratory syndrome coronavirus (SARS-CoV) inhibitors. J. Med.
Chem. 2006, 49, 1198?1201.",
98,"(5S,8S,11S)-8-isobutyl-5-isopropyl-3,6,9-trioxo-1-phenyl-11-(2,2,2-trifluoroacetyl)-2-oxa-4,7,10-triazatetradecan-14-oic acid",,O=C(N[C@@H](CC(C)C)C(N[C@H](C(C(F)(F)F)=O)CCC(O)=O)=O)[C@H](C(C)C)NC(OCC1=CC=CC=C1)=O,116 ¦ÌM,"Sydnes, M. O.; Hayashi, Y.; Sharma, V. K.; Hamada, T.; Bacha,
U.; Barrila, J.; Freire, E.; Kiso, Y. Synthesis of glutamic acid and
glutamine peptides possessing a trifluoromethyl ketone group as
SARS-CoV 3CL protease inhibitors. Tetrahedron 2006, 62, 8601?
8609.",
99,"benzyl ((S)-1-(((S)-1-(((S)-6-amino-1,1,1-trifluoro-2,6-dioxohexan-3-yl)amino)-4-methyl-1-oxopentan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)carbamate",,O=C(N[C@@H](CC(C)C)C(N[C@H](C(C(F)(F)F)=O)CCC(N)=O)=O)[C@H](C(C)C)NC(OCC1=CC=CC=C1)=O,116 ¦ÌM,"Sydnes, M. O.; Hayashi, Y.; Sharma, V. K.; Hamada, T.; Bacha,
U.; Barrila, J.; Freire, E.; Kiso, Y. Synthesis of glutamic acid and
glutamine peptides possessing a trifluoromethyl ketone group as
SARS-CoV 3CL protease inhibitors. Tetrahedron 2006, 62, 8601?
8609.",
100,"benzyl ((S)-3-methyl-1-(((S)-4-methyl-1-oxo-1-(((S)-1,1,1-trifluoro-6-morpholino-2,6-dioxohexan-3-yl)amino)pentan-2-yl)amino)-1-oxobutan-2-yl)carbamate",,O=C(N[C@@H](CC(C)C)C(N[C@H](C(C(F)(F)F)=O)CCC(N1CCOCC1)=O)=O)[C@H](C(C)C)NC(OCC2=CC=CC=C2)=O,21 ¦ÌM,"Regnier, T.; Sarma, D.; Hidaka, K.; Bacha, U.; Freire, E.;
Hayashi, Y.; Kiso, Y. New developments for the design, synthesis and
biological evaluation of potent SARS-CoV 3CL(pro) inhibitors. Bioorg.
Med. Chem. Lett. 2009, 19, 2722?2727.",
101,benzyl ((S)-3-methyl-1-(((S)-4-methyl-1-oxo-1-(((S)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)-1-(thiazol-2-yl)propan-2-yl)amino)pentan-2-yl)amino)-1-oxobutan-2-yl)carbamate,,O=C(N[C@@H](CC(C)C)C(N[C@H](C(C1=NC=CS1)=O)C[C@@H]2CCNC2=O)=O)[C@H](C(C)C)NC(OCC3=CC=CC=C3)=O,2.20 ¦ÌM,"Konno, S.; Thanigaimalai, P.; Yamamoto, T.; Nakada, K.;
Kakiuchi, R.; Takayama, K.; Yamazaki, Y.; Yakushiji, F.; Akaji, K.; Kiso,
Y.; Kawasaki, Y.; Chen, S. E.; Freire, E.; Hayashi, Y. Design and
synthesis of new tripeptide-type SARS-CoV 3CL protease inhibitors
containing an electrophilic arylketone moiety. Bioorg. Med. Chem.
2013, 21, 412?424.",
102,N-((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)-4-methoxy-1H-indole-2-carboxamide,,O=C(C1=CC(C(OC)=CC=C2)=C2N1)N[C@@H](CC(C)C)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,6.0 nM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Chen, S. E.; Naser-
Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y. Development of
potent dipeptide-type SARS-CoV 3CL protease inhibitors with novel
P3 scaffolds: design, synthesis, biological evaluation, and docking
studies. Eur. J. Med. Chem. 2013, 68, 372?384.",
103,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-((S)-2-(2-(3-(dimethylamino)phenoxy)acetamido)-3-methylbutanamido)-4-methylpentanamide,,O=C([C@@H](NC(COC1=CC(N(C)C)=CC=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,3.1 nM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
104,"benzyl ((S)-1-(((S)-3-methyl-1-(((S)-4-methyl-1-oxo-1-(((S)-4,4,4-trifluoro-3-oxo-1-phenylbutan-2-yl)amino)pentan-2-yl)amino)-1-oxobutan-2-yl)amino)-1-oxopropan-2-yl)carbamate",,O=C([C@@H](NC([C@H](C)NC(OCC1=CC=CC=C1)=O)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C(F)(F)F)=O)CC2=CC=CC=C2)=O,IC50=10 ¦ÌM,"Shao, Y.-M.; Yang, W.-B.; Kuo, T.-H.; Tsai, K.-C.; Lin, C.-H.;
Yang, A.-S.; Liang, P.-H.; Wong, C.-H. Design, synthesis, and
evaluation of trifluoromethyl ketones as inhibitors of SARS-CoV
3CL protease. Bioorg. Med. Chem. 2008, 16, 4652?4660",
105,benzyl ((S)-3-methyl-1-(((S)-4-methyl-1-oxo-1-(((S)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)-1-(thiazol-2-yl)propan-2-yl)amino)pentan-2-yl)amino)-1-oxobutan-2-yl)carbamate,,O=C([C@@H](NC(OCC1=CC=CC=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC=CS2)=O)C[C@@H]3CCNC3=O)=O,2.2 ¦ÌM,"Regnier, T.; Sharma, D.; Hidaka, K.; Bacha, U.; Freire, E.; Hayashi, Y.; Kiso, Y.
Bioorg. Med. Chem. Lett. 2009, 19, 2722.",
106,benzyl ((S)-1-(((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)carbamate,,O=C([C@@H](NC(OCC1=CC=CC=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,4.1 nM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
107,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-((S)-3-methyl-2-(2-phenoxyacetamido)butanamido)pentanamide,,O=C([C@@H](NC(COC1=CC=CC=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,22 nM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
108,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-((S)-2-(2-(4-methoxyphenoxy)acetamido)-3-methylbutanamido)-4-methylpentanamide,,O=C([C@@H](NC(COC1=CC=C(OC)C=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,14 nM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
109,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-((S)-2-(2-(4-hydroxyphenoxy)acetamido)-3-methylbutanamido)-4-methylpentanamide,,O=C([C@@H](NC(COC1=CC=C(O)C=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,11 nM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
110,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-((S)-3-methyl-2-(2-(pyridin-3-yloxy)acetamido)butanamido)pentanamide,,O=C([C@@H](NC(COC1=CC=CN=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.22 ¦ÌM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
111,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-((S)-3-methyl-2-(2-(phenylamino)acetamido)butanamido)pentanamide,,O=C([C@@H](NC(CNC1=CC=CC=C1)=O)C(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.22 ¦ÌM,"S. Konno, P. Thanigaimalai, K. Nakada, T. Yamamoto, Y. Yamazaki, F. Yakushiji,
K. Akaji, Y. Kiso, Y. Kawasaki, E. Freire, Y. Hayashi, Bioorg. Med. Chem. 21
(2013) 412-424.",
112,benzyl ((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-methyl-1-oxopentan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.46 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
113,benzyl ((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-1-oxohexan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CCCC)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,1.60 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
114,benzyl ((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-3-methyl-1-oxobutan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](C(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,1.71 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
115,benzyl ((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-4-(methylthio)-1-oxobutan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CCSC)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,9.40 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
116,benzyl ((S)-1-(((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)amino)-1-oxo-3-phenylpropan-2-yl)carbamate,,O=C(OCC1=CC=CC=C1)N[C@@H](CC2=CC=CC=C2)C(N[C@H](C(C3=NC(C=CC=C4)=C4S3)=O)C[C@@H]5CCNC5=O)=O,1.20 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
117,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-(3-methylbutanamido)pentanamide,,O=C(CC(C)C)N[C@@H](CC(C)C)C(N[C@H](C(C1=NC(C=CC=C2)=C2S1)=O)C[C@@H]3CCNC3=O)=O,5.90 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
118,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-(2-phenylacetamido)pentanamide,,O=C(CC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,3.20 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
119,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(2-(4-methoxyphenyl)acetamido)-4-methylpentanamide,,O=C(CC1=CC=C(OC)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.42 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
120,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-2-(3-(4-methoxyphenyl)propanamido)-4-methylpentanamide,,O=C(CCC1=CC=C(OC)C=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,0.61 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
121,(S)-N-((S)-1-(benzo[d]thiazol-2-yl)-1-oxo-3-((S)-2-oxopyrrolidin-3-yl)propan-2-yl)-4-methyl-2-(3-(pyridin-3-yl)propanamido)pentanamide,,O=C(CCC1=CC=CN=C1)N[C@@H](CC(C)C)C(N[C@H](C(C2=NC(C=CC=C3)=C3S2)=O)C[C@@H]4CCNC4=O)=O,7.4 ¦ÌM,"Thanigaimalai, P.; Konno, S.; Yamamoto, T.; Koiwai, Y.;
Taguchi, A.; Takayama, K.; Yakushiji, F.; Akaji, K.; Kiso, Y.; Kawasaki,
Y.; Chen, S. E.; Naser-Tavakolian, A.; Scho?n, A.; Freire, E.; Hayashi, Y.
Design, synthesis, and biological evaluation of novel dipeptide-type
SARS-CoV 3CL protease inhibitors: structure-activity relationship
study. Eur. J. Med. Chem. 2013, 65, 436?447.",
